Publication Number,User Label,Publication Date,,Strength,Ultimate Parent
US20010003598,application/dressing,6/14/01,2001,10,Nestle Sa
US20010003781,,6/14/01,2001,30,Archer Daniels Midland Company
US20010006672,application/athletic,7/5/01,2001,40,"Mondelez International, Inc."
US20010009679,application/confection,7/26/01,2001,30,Koninklijke Dsm Nv
US20010018066,application/athletic,8/30/01,2001,30,Nestle Sa
US20010024666,application/athletic,9/27/01,2001,30,Archer Daniels Midland Company
US20010024677,application/dairy products,9/27/01,2001,70,Monsanto Company
US20010026814,application/athletic,10/4/01,2001,30,Archer Daniels Midland Company
US20010029248,application/athletic,10/11/01,2001,40,Archer Daniels Midland Company
US20010029267,application/infant,10/11/01,2001,30,Abbott Laboratories
US20010043958,application/infant,11/22/01,2001,10,Abbott Laboratories
US20010046531,Application/Dairy Products,11/29/01,2001,10,Archer Daniels Midland Company
US20010051197,Application/Dairy Products,12/13/01,2001,30,The Procter & Gamble Company
US20020004086,application/confection,1/10/02,2002,70,"General Mills, Inc."
US20020004095,soy/deflavor,1/10/02,2002,40,"General Mills, Inc."
US20020015776,soy/solubilize,2/7/02,2002,20,Archer Daniels Midland Company
US20020018807,,2/14/02,2002,60,Mars Inc
US20020039619,soy/texture,4/4/02,2002,40,E.i. Du Pont De Nemours & Company
US20020044968,application/confection,4/18/02,2002,80,"General Mills, Inc."
US20020094358,,7/18/02,2002,10,Nestle Sa
US20020102346,application/confection,8/1/02,2002,60,"Cargill, Incorporated"
US20020106425,soy/defatting,8/8/02,2002,0,Unilever N.v.
US20020106436,application/infant,8/8/02,2002,50,Nestle Sa
US20020106437,application/dairy products,8/8/02,2002,70,"Cargill, Incorporated"
US20020114877,application/confection,8/22/02,2002,60,"Cargill, Incorporated"
US20020146486,Application/Dairy Products,10/10/02,2002,40,The Procter & Gamble Company
US20020155194,,10/24/02,2002,40,The Procter & Gamble Company
US20020160081,application/athletic,10/31/02,2002,30,Abbott Laboratories
US20020160097,Application/Meat Products,10/31/02,2002,50,E.i. Du Pont De Nemours & Company
US20020168448,Application/Athletic,11/14/02,2002,40,"Mondelez International, Inc."
US20020187211,Application/Weight Control,12/12/02,2002,30,Archer Daniels Midland Company
US20020192354,application/infant,12/19/02,2002,30,Nestle Sa
US20020197375,application/confection,12/26/02,2002,20,Unilever N.v.
US20020197384,soy/solubilize,12/26/02,2002,50,E.i. Du Pont De Nemours & Company
US20030008046,Application/Weight Control,1/9/03,2003,60,Monsanto Company
US20030012852,application/pasta,1/16/03,2003,20,"Pepsico, Inc."
US20030017232,application/infant,1/23/03,2003,20,Nestle Sa
US20030021877,soy/solubilize,1/30/03,2003,20,Unilever N.v.
US20030026810,application/infant,2/6/03,2003,20,Novo Nordisk Fonden
US20030026860,application/infant,2/6/03,2003,10,Abbott Laboratories
US20030035864,application/pasta,2/20/03,2003,10,"Pepsico, Inc."
US20030035882,soy/deflavor,2/20/03,2003,60,Nestle Sa
US20030040492,application/infant,2/27/03,2003,60,Nestle Sa
US20030044502,Soy/Defatting,3/6/03,2003,20,"Ajinomoto Co., Inc."
US20030045689,Application/Meat Products,3/6/03,2003,60,E.i. Du Pont De Nemours & Company
US20030049241,soy/deflavor,3/13/03,2003,30,Archer Daniels Midland Company
US20030054083,application/infant,3/20/03,2003,30,Nestle Sa
US20030054086,soy/deflavor,3/20/03,2003,30,"General Mills, Inc."
US20030054087,soy/solubilize,3/20/03,2003,40,E.i. Du Pont De Nemours & Company
US20030059501,application/confection,3/27/03,2003,60,Nestle Sa
US20030059511,,3/27/03,2003,70,"Ajinomoto Co., Inc."
US20030059514,application/confection,3/27/03,2003,30,The Procter & Gamble Company
US20030059517,soy/deflavor,3/27/03,2003,50,Nestle Sa
US20030064121,,4/3/03,2003,60,E.i. Du Pont De Nemours & Company
US20030064145,soy/deflavor,4/3/03,2003,60,E.i. Du Pont De Nemours & Company
US20030068421,application/confection,4/10/03,2003,0,Unilever N.v.
US20030068425,application/infant,4/10/03,2003,20,"Cargill, Incorporated"
US20030083512,soy/texture,5/1/03,2003,40,"Cargill, Incorporated"
US20030086878,application/confection,5/8/03,2003,60,The Procter & Gamble Company
US20030091696,soy/solubilize,5/15/03,2003,40,"Mondelez International, Inc."
US20030091697,,5/15/03,2003,30,"General Mills, Inc."
US20030091717,soy/deflavor,5/15/03,2003,20,"Cargill, Incorporated"
US20030099722,application/infant,5/29/03,2003,80,Abbott Laboratories
